0+1,1,a
0+2,2,a
0+3,3,a
0+4,4,a
0+5,5,a
0+6,6,a
0+7,7,a
0+8,8,a
0+9,9,a
0+10,10,a
1+1,2,a
1+2,3,a
1+3,4,a
1+4,5,a
1+5,6,a
1+6,7,a
1+7,8,a
1+8,9,a
1+9,10,a
1+10,11,a
2+1,3,a
2+2,4,a
2+3,5,a
2+4,6,a
2+5,7,a
2+6,8,a
2+7,9,a
2+8,10,a
2+9,11,a
2+10,12,a
3+1,4,a
3+2,5,a
3+3,6,a
3+4,7,a
3+5,8,a
3+6,9,a
3+7,10,a
3+8,11,a
3+9,12,a
3+10,13,a
4+1,5,a
4+2,6,a
4+3,7,a
4+4,8,a
4+5,9,a
4+6,10,a
4+7,11,a
4+8,12,a
4+9,13,a
4+10,14,a
5+1,6,a
5+2,7,a
5+3,8,a
5+4,9,a
5+5,10,a
5+6,11,a
5+7,12,a
5+8,13,a
5+9,14,a
5+10,15,a
6+1,7,a
6+2,8,a
6+3,9,a
6+4,10,a
6+5,11,a
6+6,12,a
6+7,13,a
6+8,14,a
6+9,15,a
6+10,16,a
7+1,8,a
7+2,9,a
7+3,10,a
7+4,11,a
7+5,12,a
7+6,13,a
7+7,14,a
7+8,15,a
7+9,16,a
7+10,17,a
8+1,9,a
8+2,10,a
8+3,11,a
8+4,12,a
8+5,13,a
8+6,14,a
8+7,15,a
8+8,16,a
8+9,17,a
8+10,18,a
9+1,10,a
9+2,11,a
9+3,12,a
9+4,13,a
9+5,14,a
9+6,15,a
9+7,16,a
9+8,17,a
9+9,18,a
9+10,19,a
10+1,11,a
10+2,12,a
10+3,13,a
10+4,14,a
10+5,15,a
10+6,16,a
10+7,17,a
10+8,18,a
10+9,19,a
10+10,20,a
0*1,0,m
0*2,0,m
0*3,0,m
0*4,0,m
0*5,0,m
0*6,0,m
0*7,0,m
0*8,0,m
0*9,0,m
0*10,0,m
1*1,1,m
1*2,2,m
1*3,3,m
1*4,4,m
1*5,5,m
1*6,6,m
1*7,7,m
1*8,8,m
1*9,9,m
1*10,10,m
2*1,2,m
2*2,4,m
2*3,6,m
2*4,8,m
2*5,10,m
2*6,12,m
2*7,14,m
2*8,16,m
2*9,18,m
2*10,20,m
3*1,3,m
3*2,6,m
3*3,9,m
3*4,12,m
3*5,15,m
3*6,18,m
3*7,21,m
3*8,24,m
3*9,27,m
3*10,30,m
4*1,4,m
4*2,8,m
4*3,12,m
4*4,16,m
4*5,20,m
4*6,24,m
4*7,28,m
4*8,32,m
4*9,36,m
4*10,40,m
5*1,5,m
5*2,10,m
5*3,15,m
5*4,20,m
5*5,25,m
5*6,30,m
5*7,35,m
5*8,40,m
5*9,45,m
5*10,50,m
6*1,6,m
6*2,12,m
6*3,18,m
6*4,24,m
6*5,30,m
6*6,36,m
6*7,42,m
6*8,48,m
6*9,54,m
6*10,60,m
7*1,7,m
7*2,14,m
7*3,21,m
7*4,28,m
7*5,35,m
7*6,42,m
7*7,49,m
7*8,56,m
7*9,63,m
7*10,70,m
8*1,8,m
8*2,16,m
8*3,24,m
8*4,32,m
8*5,40,m
8*6,48,m
8*7,56,m
8*8,64,m
8*9,72,m
8*10,80,m
9*1,9,m
9*2,18,m
9*3,27,m
9*4,36,m
9*5,45,m
9*6,54,m
9*7,63,m
9*8,72,m
9*9,81,m
9*10,90,m
10*1,10,m
10*2,20,m
10*3,30,m
10*4,40,m
10*5,50,m
10*6,60,m
10*7,70,m
10*8,80,m
10*9,90,m
10*10,100,m
1-1,0,s
2-2,0,s
3-3,0,s
4-4,0,s
5-5,0,s
6-6,0,s
7-7,0,s
8-8,0,s
9-9,0,s
10-10,0,s
2-1,1,s
3-2,1,s
4-3,1,s
5-4,1,s
6-5,1,s
7-6,1,s
8-7,1,s
9-8,1,s
10-9,1,s
11-10,1,s
3-1,2,s
4-2,2,s
5-3,2,s
6-4,2,s
7-5,2,s
8-6,2,s
9-7,2,s
10-8,2,s
11-9,2,s
12-10,2,s
4-1,3,s
5-2,3,s
6-3,3,s
7-4,3,s
8-5,3,s
9-6,3,s
10-7,3,s
11-8,3,s
12-9,3,s
13-10,3,s
5-1,4,s
6-2,4,s
7-3,4,s
8-4,4,s
9-5,4,s
10-6,4,s
11-7,4,s
12-8,4,s
13-9,4,s
14-10,4,s
6-1,5,s
7-2,5,s
8-3,5,s
9-4,5,s
10-5,5,s
11-6,5,s
12-7,5,s
13-8,5,s
14-9,5,s
15-10,5,s
7-1,6,s
8-2,6,s
9-3,6,s
10-4,6,s
11-5,6,s
12-6,6,s
13-7,6,s
14-8,6,s
15-9,6,s
16-10,6,s
8-1,7,s
9-2,7,s
10-3,7,s
11-4,7,s
12-5,7,s
13-6,7,s
14-7,7,s
15-8,7,s
16-9,7,s
17-10,7,s
9-1,8,s
10-2,8,s
11-3,8,s
12-4,8,s
13-5,8,s
14-6,8,s
15-7,8,s
16-8,8,s
17-9,8,s
18-10,8,s
10-1,9,s
11-2,9,s
12-3,9,s
13-4,9,s
14-5,9,s
15-6,9,s
16-7,9,s
17-8,9,s
18-9,9,s
19-10,9,s
11-1,10,s
12-2,10,s
13-3,10,s
14-4,10,s
15-5,10,s
16-6,10,s
17-7,10,s
18-8,10,s
19-10,10,s
20-10,10,s
0/1,0,d
0/2,0,d
0/3,0,d
0/4,0,d
0/5,0,d
0/6,0,d
0/7,0,d
0/8,0,d
0/9,0,d
0/10,0,d
1/1,1,d
2/1,2,d
3/1,3,d
4/1,4,d
5/1,5,d
6/1,6,d
7/1,7,d
8/1,8,d
9/1,9,d
10/1,10,d
2/1,2,d
4/2,2,d
6/3,2,d
8/4,2,d
10/5,2,d
12/6,2,d
14/7,2,d
16/8,2,d
18/9,2,d
20/10,2,d
3/1,3,d
6/2,3,d
9/3,3,d
12/4,3,d
15/3,3,d
18/6,3,d
21/7,3,d
24/8,3,d
27/9,3,d
30/10,3,d
4/1,4,d
8/2,4,d
12/3,4,d
16/4,4,d
20/5,4,d
24/6,4,d
28/7,4,d
32/8,4,d
36/9,4,d
40/10,4,d
5/1,5,d
10/2,5,d
15/3,5,d
20/4,5,d
25/5,5,d
30/6,5,d
35/7,5,d
40/8,5,d
45/9,5,d
50/10,5,d
6/1,6,d
12/2,6,d
18/3,6,d
24/4,6,d
30/5,6,d
36/6,6,d
42/7,6,d
48/8,6,d
54/9,6,d
60/10,6,d
7/1,7,d
14/2,7,d
21/3,7,d
28/4,7,d
35/5,7,d
42/6,7,d
49/7,7,d
56/8,7,d
63/9,7,d
70/10,7,d
8/1,8,d
16/2,8,d
24/3,8,d
32/4,8,d
40/5,8,d
48/6,8,d
56/7,8,d
64/8,8,d
72/9,8,d
80/10,8,d
9/1,9,d
18/2,9,d
27/3,9,d
36/4,9,d
45/5,9,d
54/6,9,d
63/7,9,d
72/8,9,d
81/9,9,d
90/10,9,d
10/1,10,d
20/2,10,d
30/3,10,d
40/4,10,d
50/5,10,d
60/6,10,d
70/7,10,d
80/8,10,d
90/9,10,d
100/10,10,d
100+100,200,A
100+101,201,A
100+102,202,A
100+103,203,A
100+104,204,A
100+105,205,A
100+106,206,A
100+107,207,A
100+108,208,A
100+109,209,A
100+110,210,A
100+111,211,A
100+112,212,A
100+113,213,A
100+114,214,A
100+115,215,A
100+116,216,A
100+117,217,A
100+118,218,A
100+119,219,A
100+120,220,A
111+110,221,A
111+111,222,A
111+112,223,A
111+113,224,A
111+114,225,A
111+115,226,A
111+116,227,A
111+117,228,A
111+118,229,A
120+110,230,A
120+111,231,A
120+112,232,A
120+113,233,A
111+123,234,A
120+115,235,A
120+116,236,A
120+117,237,A
120+118,238,A
120+119,239,A
120+120,240,A
121+120,241,A
122+120,242,A
123+120,243,A
123+121,244,A
123+122,245,A
123+123,246,A
123+124,247,A
123+125,248,A
123+126,249,A
123+127,250,A
123+128,251,A
123+129,252,A
123+130,253,A
123+131,254,A
123+132,255,A
125+131,256,A
125+132,257,A
125+133,258,A
128+131,259,A
128+132,260,A
150+150,300,A
110+210,320,A
120+210,330,A
213+122,335,A
200+196,396,A
200+197,397,A
